職員ID,基本職務内容,重要ミッション,主要数値目標,目標値
10,サービス管理責任者の補佐をすること,,,
10,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
10,管理者・副管理者・サービス管理責任者の指示のもと、女子生活支援員の業務の調整、意見聴取等を行い副主任と協力し、グループリーダーとして男女子生活支援員の統括を図ること,,,
10,日中支援・余暇支援・外出支援を利用者の日中生活を充実させる,,,
10,生活支援員への指導に関すること,,,
10,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
10,個人情報保護に関すること,,,
10,委員会活動・係分担表・行事計画の業務に関すること（進捗状況を把握しながら、担当者がスムーズに業務遂行ができるようにサポートする）,,,
10,女子支援員全般の管理し、職員間の協力のもと業務を円滑に遂行する。,,,
10,介護福祉士（介護福祉士実習指導者資格を目指すこと）,,,
11,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,施設入所の継続利用を支える。,90%超の維持
11,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
11,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
11,日中支援・余暇支援・外出支援を利用者の日中生活を充実させる,,,
11,生活支援員への指導に関すること,,,
11,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
11,個人情報保護に関すること,,,
11,委員会活動・係分担表・行事計画の業務に関すること（進捗状況を把握しながら、担当者がスムーズに業務遂行ができるようにサポートする）,,,
11,男子支援員全般の管理し、職員間の協力のもと業務を円滑に遂行する。,,,
11,経験を活かし、社会福祉士資格取得を目指すこと。,,,
12,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,施設入所の継続利用を支える。,90%超の維持
12,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
12,サービス管理責任者の補佐をすること,,,
12,管理者・副管理者・サービス管理責任者の指示のもと、女子生活支援員の業務の調整、意見聴取等を行い副主任と協力し、グループリーダーとして女子生活支援員の統括を図ること,,,
12,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。支援経過をまとめ、計画変更がある場合は内容を記録し計画変更をしてもらう),,,
12,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
12,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
12,個人情報保護に関すること,,,
12,委員会活動・係分担表・行事計画の業務に関すること,,,
12,経験実績を積み、後輩等の良き理解者になるよう努力すること,,,
12,介護福祉士,,,
13,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,,,
13,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
13,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
13,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
13,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
13,個人情報保護に関すること,,,
13,委員会活動・係分担表・行事計画の業務に関すること,,,
13,経験実績を積み、後輩の良き理解者になるよう努力すること,,,
13,経験を活かし、介護福祉士等資格取得に励むこと,,,
14,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,各担当グループの支援員を指導し、個別支援計画に基づいた質の高い日中活動を実践することで利用者の満足度を高め、正確なケース記録の維持により自立支援給付費収益を担保するとともに、職場環境の整備により離職を防ぎ人件費の安定化に寄与する。,,
14,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
14,サービス管理責任者の補佐をすること,,,
14,管理者・副管理者・サービス管理責任者の指示のもと、女子生活支援員の業務の調整、意見聴取等を行い副主任と協力し、グループリーダーとして女子生活支援員の統括を図ること,,,
14,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
14,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
14,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
14,個人情報保護に関すること,,,
14,委員会活動・係分担表・行事計画の業務に関すること,,,
14,経験実績を積み、後輩の良き理解者になるよう努力すること,,,
14,社会福祉士（+社会福祉士実習指導者）・精神保健福祉士,,,
15,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,各担当グループの支援員を指導し、個別支援計画に基づいた質の高い日中活動を実践することで利用者の満足度を高め、正確なケース記録の維持により自立支援給付費収益を担保するとともに、職場環境の整備により離職を防ぎ人件費の安定化に寄与する。,,
15,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
15,サービス管理責任者の補佐をすること,,,
15,管理者・副管理者・サービス管理責任者の指示のもと、男子生活支援員の業務の調整、意見聴取等を行い副主任と協力し、グループリーダーとして男子生活支援員の統括を図ること,,,
15,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
15,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
15,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
15,個人情報保護に関すること,,,
15,委員会活動・係分担表・行事計画の業務に関すること,,,
15,法人や施設業務を理解する,,,
15,経験を活かし、介護福祉士資格取得に励むこと,,,
16,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
16,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
16,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
16,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
16,個人情報保護に関すること,,,
16,委員会活動・係分担表・行事計画の業務に関すること,,,
16,法人や施設業務を理解する,,,
16,経験を活かし、資格取得に励むこと,,,
17,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
17,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
17,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
17,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
17,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
17,個人情報保護に関すること,,,
17,委員会活動・係分担表・行事計画の業務に関すること,,,
17,経験実績を積み、後輩の良き理解者になるよう努力すること,,,
17,介護福祉士,,,
18,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
18,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
18,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
18,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
18,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
18,個人情報保護に関すること,,,
18,委員会活動・係分担表・行事計画の業務に関すること,,,
18,法人や施設業務を理解する,,,
18,社会福祉士,,,
19,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,各担当グループの支援員を指導し、個別支援計画に基づいた質の高い日中活動を実践することで利用者の満足度を高め、正確なケース記録の維持により自立支援給付費収益を担保するとともに、職場環境の整備により離職を防ぎ人件費の安定化に寄与する。,,
19,サービス管理責任者の補佐をすること,,,
19,管理者・副管理者・サービス管理責任者の指示のもと、男子生活支援員の業務の調整、意見聴取等を行い副主任と協力し、グループリーダーとして男子生活支援員の統括を図ること,,,
19,個別支援計画に関すること（生活介護事業・施設支援事業のサービス提供者として、個別支援計画に沿ってサービスの提供を行う）,,,
19,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。),,,
19,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
19,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
19,個人情報保護に関すること,,,
19,委員会活動・係分担表・行事計画の業務に関すること,,,
19,施設・法人の活動を理解すること。,,,
19,経験を活かし、資格取得に励むこと,,,
20,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
20,個別支援計画に関すること（生活介護事業・施設支援事業のサービス提供者として、個別支援計画に沿ってサービスの提供を行う）,,,
20,ケース記録に関すること（個別支援計画に沿った支援を実施し内容を記録する。),,,
20,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
20,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
20,個人情報保護に関すること,,,
20,委員会活動・係分担表・行事計画の業務に関すること,,,
20,施設・法人の活動を理解すること。,,,
20,介護福祉士(+実習指導者),,,
21,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
21,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
21,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
21,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
21,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
21,個人情報保護に関すること,,,
21,委員会活動・係分担表・行事計画の業務に関すること,,,
21,施設・法人の活動を理解すること。,,,
22,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
22,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
22,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
22,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
22,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
22,個人情報保護に関すること,,,
22,委員会活動・係分担表・行事計画の業務に関すること,,,
22,施設・法人の活動を理解すること。,,,
22,介護福祉士,,,
23,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
23,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
23,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
23,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
23,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
23,個人情報保護に関すること,,,
23,委員会活動・係分担表・行事計画の業務に関すること,,,
23,施設・法人の活動を理解すること。,,,
24,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
24,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
24,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
24,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
24,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
24,個人情報保護に関すること,,,
